,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial,standardPokePosX,standardPokePosY,absolutePokePosX,absolutePokePosY
0,"[0.0, 0.0]",19.2093727123,"[12.0, 15.0]",1.11783631146,0.316922861617,1,12.0,15.0,12.0,15.0
1,"[100.0, -100.0]",41.5932686862,"[63.0, -119.0]",0.900488873944,0.29998819204,2,,,37.0,-19.0
2,"[100.0, 0.0]",10.1980390272,"[90.0, -2.0]",0.933510022238,0.300008323044,3,-10.0,-2.0,10.0,-2.0
3,"[-100.0, 0.0]",2.2360679775,"[-101.0, 2.0]",0.968183384277,0.316648844164,4,-1.0,2.0,1.0,2.0
4,"[-100.0, 100.0]",6.7082039325,"[-103.0, 94.0]",3.20332479943,0.28445545584,5,-3.0,-6.0,3.0,-6.0
5,"[0.0, 100.0]",7.61577310586,"[-3.0, 107.0]",0.967870909255,0.317094122525,6,-3.0,7.0,3.0,7.0
6,"[100.0, 0.0]",6.0,"[106.0, 0.0]",0.900249109138,0.282823372632,7,6.0,0.0,6.0,0.0
7,"[100.0, -100.0]",19.3132079158,"[107.0, -118.0]",2.16868208349,0.283093182836,8,7.0,-18.0,7.0,-18.0
8,"[0.0, 0.0]",28.319604517,"[-19.0, 21.0]",0.950174279977,0.316053338349,9,-19.0,21.0,19.0,21.0
9,"[100.0, 0.0]",2.2360679775,"[98.0, -1.0]",2.28403331386,0.282269630115,10,-2.0,-1.0,2.0,-1.0
10,"[100.0, 0.0]",5.0,"[97.0, 4.0]",1.00130308326,0.300416644197,11,-3.0,4.0,3.0,4.0
11,"[-100.0, -100.0]",11.0453610172,"[-101.0, -111.0]",1.01666906523,0.34956212854,12,-1.0,-11.0,1.0,-11.0
12,"[-100.0, -100.0]",11.1803398875,"[-111.0, -98.0]",0.949721190613,0.299027329776,13,-11.0,2.0,11.0,2.0
13,"[0.0, -100.0]",26.4764045897,"[5.0, -74.0]",2.08466433361,0.266296122689,14,,,5.0,26.0
14,"[-100.0, 100.0]",7.61577310586,"[-107.0, 97.0]",1.05116065126,0.283133744728,15,-7.0,-3.0,7.0,-3.0
15,"[100.0, -100.0]",23.6008474424,"[114.0, -81.0]",1.01697042398,0.29955282947,16,14.0,19.0,14.0,19.0
16,"[0.0, 0.0]",2.0,"[0.0, 2.0]",1.0007887003,0.282647605054,17,0.0,2.0,0.0,2.0
17,"[0.0, -100.0]",12.0,"[-12.0, -100.0]",0.933495299891,0.299409812316,18,-12.0,0.0,12.0,0.0
18,"[0.0, 100.0]",3.60555127546,"[-3.0, 102.0]",2.25180537207,0.299792293925,19,-3.0,2.0,3.0,2.0
19,"[-100.0, -100.0]",6.0827625303,"[-101.0, -94.0]",4.67123732204,0.266680107452,20,-1.0,6.0,1.0,6.0
20,"[0.0, 0.0]",8.94427191,"[4.0, 8.0]",1.03462258494,0.282776801381,21,4.0,8.0,4.0,8.0
21,"[-100.0, 100.0]",3.60555127546,"[-102.0, 97.0]",1.05128413904,0.24996176688,22,-2.0,-3.0,2.0,-3.0
22,"[0.0, -100.0]",13.0384048104,"[-13.0, -99.0]",0.967057872098,0.28303219052,23,-13.0,1.0,13.0,1.0
23,"[100.0, 100.0]",15.0332963784,"[85.0, 99.0]",2.3185155848,0.266134777106,24,-15.0,-1.0,15.0,-1.0
24,"[0.0, -100.0]",10.295630141,"[-5.0, -109.0]",1.91522089159,0.266758826561,25,-5.0,-9.0,5.0,-9.0
25,"[100.0, -100.0]",16.6433169771,"[109.0, -114.0]",1.0131125534,0.298117845785,26,9.0,-14.0,9.0,-14.0
26,"[0.0, 100.0]",13.0,"[0.0, 87.0]",0.980104324874,0.249191995244,27,0.0,-13.0,0.0,-13.0
27,"[100.0, 100.0]",8.48528137424,"[106.0, 94.0]",0.931439872365,0.282018147409,28,6.0,-6.0,6.0,-6.0
28,"[-100.0, -100.0]",19.4164878389,"[-96.0, -81.0]",0.962726180442,0.264655025676,29,4.0,19.0,4.0,19.0
29,"[0.0, 100.0]",16.5529453572,"[15.0, 93.0]",0.980987668969,0.266339388676,30,15.0,-7.0,15.0,-7.0
30,"[-100.0, 100.0]",5.38516480713,"[-102.0, 95.0]",2.39208763978,0.265367710032,31,-2.0,-5.0,2.0,-5.0
31,"[-100.0, 0.0]",2.2360679775,"[-98.0, -1.0]",0.964303881396,0.282662928104,32,2.0,-1.0,2.0,-1.0
32,"[0.0, 0.0]",18.6010752377,"[11.0, 15.0]",1.11237730458,0.264504196122,33,11.0,15.0,11.0,15.0
33,"[100.0, 0.0]",13.9283882772,"[105.0, 13.0]",1.12997267907,0.332275924273,34,5.0,13.0,5.0,13.0
34,"[0.0, -100.0]",19.4164878389,"[19.0, -96.0]",1.06193504669,0.247523256112,35,19.0,4.0,19.0,4.0
35,"[-100.0, 100.0]",8.24621125124,"[-92.0, 102.0]",2.45797790494,0.264996645041,36,8.0,2.0,8.0,2.0
36,"[100.0, 100.0]",11.401754251,"[97.0, 89.0]",0.980390960816,0.250330728013,37,-3.0,-11.0,3.0,-11.0
37,"[0.0, 100.0]",17.4928556845,"[15.0, 109.0]",0.996598524041,0.265408271458,38,15.0,9.0,15.0,9.0
38,"[-100.0, 0.0]",8.0622577483,"[-92.0, -1.0]",0.997405251488,0.232321924064,39,8.0,-1.0,8.0,-1.0
39,"[100.0, -100.0]",11.1803398875,"[110.0, -95.0]",1.04607991967,0.248910166323,40,10.0,5.0,10.0,5.0
40,"[100.0, 0.0]",3.60555127546,"[102.0, 3.0]",2.82508222759,0.248676410876,41,2.0,3.0,2.0,3.0
41,"[100.0, 100.0]",14.0356688476,"[101.0, 114.0]",1.03013615822,0.148588406853,42,1.0,14.0,1.0,14.0
42,"[100.0, 100.0]",13.0384048104,"[107.0, 111.0]",7.86003441457,0.149244605564,43,7.0,11.0,7.0,11.0
43,"[-100.0, 100.0]",9.21954445729,"[-94.0, 93.0]",1.04604266305,0.248552321922,44,6.0,-7.0,6.0,-7.0
44,"[0.0, 0.0]",13.6014705087,"[-8.0, -11.0]",0.963880536612,0.214930860326,45,-8.0,-11.0,8.0,-11.0
45,"[0.0, 0.0]",19.6977156036,"[18.0, -8.0]",2.74161491543,0.265432609245,46,18.0,-8.0,18.0,-8.0
46,"[100.0, -100.0]",3.60555127546,"[103.0, -102.0]",1.14670363907,0.249180878513,47,3.0,-2.0,3.0,-2.0
47,"[0.0, 0.0]",5.83095189485,"[3.0, -5.0]",2.40935882134,0.248350414913,48,3.0,-5.0,3.0,-5.0
48,"[100.0, 100.0]",6.32455532034,"[102.0, 94.0]",0.9634589958,0.232037992217,49,2.0,-6.0,2.0,-6.0
49,"[100.0, 100.0]",3.16227766017,"[101.0, 103.0]",1.0636296249,0.232809866779,50,1.0,3.0,1.0,3.0
50,"[-100.0, 100.0]",10.6301458127,"[-93.0, 108.0]",1.11270510312,0.381573440041,51,7.0,8.0,7.0,8.0
51,"[-100.0, 100.0]",13.0384048104,"[-93.0, 111.0]",1.07919481071,0.231847502291,52,7.0,11.0,7.0,11.0
52,"[-100.0, 0.0]",8.60232526704,"[-95.0, -7.0]",3.10741074663,0.248350414913,53,5.0,-7.0,5.0,-7.0
53,"[100.0, 0.0]",22.5610283454,"[122.0, -5.0]",2.30983567704,0.231931630522,54,22.0,-5.0,22.0,-5.0
54,"[100.0, -100.0]",11.7046999107,"[111.0, -104.0]",1.04688995285,0.232429788448,55,11.0,-4.0,11.0,-4.0
55,"[0.0, 100.0]",25.0,"[-15.0, 80.0]",0.981635154225,0.249003909063,56,-15.0,-20.0,15.0,-20.0
56,"[100.0, -100.0]",10.8166538264,"[91.0, -106.0]",0.980367825367,0.133738609962,57,-9.0,-6.0,9.0,-6.0
57,"[-100.0, -100.0]",7.81024967591,"[-105.0, -106.0]",1.03039244842,0.215474087279,58,-5.0,-6.0,5.0,-6.0
58,"[0.0, 100.0]",17.4642491966,"[-4.0, 117.0]",2.46100200666,0.265289891511,59,-4.0,17.0,4.0,17.0
59,"[-100.0, 100.0]",23.0867927612,"[-93.0, 78.0]",1.0800129557,0.265504117589,60,7.0,-22.0,7.0,-22.0
60,"[-100.0, 100.0]",10.1980390272,"[-98.0, 90.0]",2.54272005707,0.265800969675,61,2.0,-10.0,2.0,-10.0
61,"[-100.0, -100.0]",1.0,"[-100.0, -101.0]",1.08001505909,0.248539702967,62,0.0,-1.0,0.0,-1.0
62,"[0.0, 100.0]",6.0827625303,"[-6.0, 101.0]",1.07995707076,0.266020303126,63,-6.0,1.0,6.0,1.0
63,"[100.0, 0.0]",16.1554944214,"[94.0, -15.0]",3.58917074138,0.181850221474,64,-6.0,-15.0,6.0,-15.0
64,"[100.0, -100.0]",3.16227766017,"[101.0, -97.0]",0.998148282059,0.132921366487,65,1.0,3.0,1.0,3.0
65,"[0.0, 100.0]",7.07106781187,"[5.0, 95.0]",1.09682684159,0.248885829467,66,5.0,-5.0,5.0,-5.0
66,"[-100.0, -100.0]",5.83095189485,"[-97.0, -95.0]",2.52452226542,0.147901561577,67,3.0,5.0,3.0,5.0
67,"[100.0, 100.0]",17.8044938148,"[114.0, 89.0]",1.06360498769,0.265422994271,68,14.0,-11.0,14.0,-11.0
68,"[-100.0, -100.0]",4.472135955,"[-96.0, -102.0]",1.06361790746,0.265699715354,69,4.0,-2.0,4.0,-2.0
69,"[-100.0, 0.0]",7.61577310586,"[-107.0, -3.0]",1.06403884757,0.266052752268,70,-7.0,-3.0,7.0,-3.0
70,"[100.0, 0.0]",9.05538513814,"[91.0, -1.0]",0.979683384299,0.265063346829,71,-9.0,-1.0,9.0,-1.0
71,"[-100.0, 0.0]",15.2643375225,"[-92.0, -13.0]",1.09624755988,0.231748351362,72,8.0,-13.0,8.0,-13.0
72,"[0.0, -100.0]",12.3693168769,"[-3.0, -88.0]",1.07969597308,0.265735168941,73,-3.0,12.0,3.0,12.0
73,"[0.0, -100.0]",17.4928556845,"[9.0, -115.0]",2.87525347294,0.266420511995,74,9.0,-15.0,9.0,-15.0
74,"[-100.0, 0.0]",9.43398113206,"[-95.0, -8.0]",1.01333218766,0.248849174008,75,5.0,-8.0,5.0,-8.0
75,"[-100.0, 100.0]",7.28010988928,"[-98.0, 93.0]",1.06339166313,0.249028246384,76,2.0,-7.0,2.0,-7.0
76,"[-100.0, 0.0]",5.0,"[-97.0, -4.0]",0.946395429783,0.248176149558,77,3.0,-4.0,3.0,-4.0
